,Specimen Collection Date,Race/Ethnicity,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at,Asian
0,2020/04/09,Asian,6,146,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
1,2020/07/29,Asian,15,712,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
2,2020/08/06,Asian,9,802,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
3,2020/08/09,Asian,3,820,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
4,2020/08/13,Asian,8,856,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
5,2020/08/19,Asian,12,935,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
6,2020/04/10,Asian,9,155,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
7,2020/04/29,Asian,9,246,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
8,2020/04/30,Asian,6,252,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
9,2020/05/01,Asian,4,256,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
10,2020/05/02,Asian,4,260,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
11,2020/05/03,Asian,2,262,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
12,2020/08/07,Asian,11,813,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
13,2020/05/04,Asian,1,263,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
14,2020/05/05,Asian,2,265,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
15,2020/05/06,Asian,4,269,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
16,2020/08/12,Asian,9,848,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
17,2020/05/07,Asian,1,270,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
18,2020/05/09,"White, Non-Hispanic",0,341,09/23/2020 02:20:12 PM,
19,2020/06/27,Asian,2,442,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
20,2020/05/08,Asian,2,272,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
21,2020/05/09,Asian,1,273,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
22,2020/05/10,Asian,0,273,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
23,2020/05/11,Asian,3,276,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
24,2020/08/11,Asian,7,839,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
25,2020/08/17,Asian,8,910,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
26,2020/08/20,Asian,12,947,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
27,2020/05/12,Asian,11,287,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
28,2020/05/13,Asian,2,289,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
29,2020/05/14,Asian,3,292,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
30,2020/05/15,Asian,4,296,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
31,2020/05/16,Asian,4,300,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
32,2020/05/17,Asian,1,301,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
33,2020/05/18,Asian,4,305,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
34,2020/08/21,Asian,15,962,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
35,2020/05/19,Asian,0,305,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
36,2020/08/08,Asian,4,817,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
37,2020/05/20,Asian,3,308,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
38,2020/05/21,Asian,8,316,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
39,2020/05/22,Asian,0,316,09/23/2020 02:20:12 PM,"Asian, Non-Hispanic"
